0,1
Winter,Max. Frost Depth (inches)
2001-2002,64
2002-2003,60
2003-2004,72
2004-2005,61
2005-2006,60
2006-2007,75
2007-2008,72
2008-2009,73
2009-2010,73
2010-2011,61
2011-2012,61
2012-2013,73
2013-2014,97
2014-2015,73
2015-2016,61
2016-2017,61
2017-2018,73
2018-2019,73
2019-2020,61
2020-2021,61
2021-2022,73
