IYEAR,IMONTH,IDAY,AVG_DAILY_TEMP_F,DATE,COLD_F,HOT_F,INDEX,CUMM_COLD_F,CUMM_HOT_F
2018,7,1,64.0,2018-07-01,0.0,32.0,0,0.0,32.0
2018,7,2,64.0,2018-07-02,0.0,32.0,1,0.0,64.0
2018,7,3,73.0,2018-07-03,0.0,41.0,2,0.0,105.0
2018,7,4,74.0,2018-07-04,0.0,42.0,3,0.0,147.0
2018,7,5,69.0,2018-07-05,0.0,37.0,4,0.0,184.0
2018,7,6,64.0,2018-07-06,0.0,32.0,5,0.0,216.0
2018,7,7,72.0,2018-07-07,0.0,40.0,6,0.0,256.0
2018,7,8,74.0,2018-07-08,0.0,42.0,7,0.0,298.0
2018,7,9,73.0,2018-07-09,0.0,41.0,8,0.0,339.0
2018,7,10,66.0,2018-07-10,0.0,34.0,9,0.0,373.0
2018,7,11,65.0,2018-07-11,0.0,33.0,10,0.0,406.0
2018,7,12,74.0,2018-07-12,0.0,42.0,11,0.0,448.0
2018,7,13,72.0,2018-07-13,0.0,40.0,12,0.0,488.0
2018,7,14,73.0,2018-07-14,0.0,41.0,13,0.0,529.0
2018,7,15,72.0,2018-07-15,0.0,40.0,14,0.0,569.0
2018,7,16,64.0,2018-07-16,0.0,32.0,15,0.0,601.0
2018,7,17,60.0,2018-07-17,0.0,28.0,16,0.0,629.0
2018,7,18,64.0,2018-07-18,0.0,32.0,17,0.0,661.0
2018,7,19,69.0,2018-07-19,0.0,37.0,18,0.0,698.0
2018,7,20,69.0,2018-07-20,0.0,37.0,19,0.0,735.0
2018,7,21,67.0,2018-07-21,0.0,35.0,20,0.0,770.0
2018,7,22,68.0,2018-07-22,0.0,36.0,21,0.0,806.0
2018,7,23,67.0,2018-07-23,0.0,35.0,22,0.0,841.0
2018,7,24,66.0,2018-07-24,0.0,34.0,23,0.0,875.0
2018,7,25,63.0,2018-07-25,0.0,31.0,24,0.0,906.0
2018,7,26,59.0,2018-07-26,0.0,27.0,25,0.0,933.0
2018,7,27,60.0,2018-07-27,0.0,28.0,26,0.0,961.0
2018,7,28,63.0,2018-07-28,0.0,31.0,27,0.0,992.0
2018,7,29,64.0,2018-07-29,0.0,32.0,28,0.0,1024.0
2018,7,30,65.0,2018-07-30,0.0,33.0,29,0.0,1057.0
2018,7,31,68.0,2018-07-31,0.0,36.0,30,0.0,1093.0
2018,8,1,55.0,2018-08-01,0.0,23.0,31,0.0,1116.0
2018,8,2,54.0,2018-08-02,0.0,22.0,32,0.0,1138.0
2018,8,3,59.0,2018-08-03,0.0,27.0,33,0.0,1165.0
2018,8,4,62.0,2018-08-04,0.0,30.0,34,0.0,1195.0
2018,8,5,71.0,2018-08-05,0.0,39.0,35,0.0,1234.0
2018,8,6,63.0,2018-08-06,0.0,31.0,36,0.0,1265.0
2018,8,7,60.0,2018-08-07,0.0,28.0,37,0.0,1293.0
2018,8,8,67.0,2018-08-08,0.0,35.0,38,0.0,1328.0
2018,8,9,70.0,2018-08-09,0.0,38.0,39,0.0,1366.0
2018,8,10,67.0,2018-08-10,0.0,35.0,40,0.0,1401.0
2018,8,11,74.0,2018-08-11,0.0,42.0,41,0.0,1443.0
2018,8,12,72.0,2018-08-12,0.0,40.0,42,0.0,1483.0
2018,8,13,76.0,2018-08-13,0.0,44.0,43,0.0,1527.0
