CITY,County,Winter,days_after_Jul_1,IYEAR,IMONTH,IDAY,DATE,AVG_DAILY_TEMP_F,HOT_F,CUMM_HOT_F,COLD_F,CUMM_COLD_F,THAW_DEPTH_in,FROST_DEPTH_in
ORR,,2022-2023,0,2022,7,1,2022-07-01,61.0,29.0,29.0,0.0,0.0,,
ORR,,2022-2023,1,2022,7,2,2022-07-02,59.0,27.0,56.0,0.0,0.0,,
ORR,,2022-2023,2,2022,7,3,2022-07-03,59.0,27.0,83.0,0.0,0.0,,
ORR,,2022-2023,3,2022,7,4,2022-07-04,65.0,33.0,116.0,0.0,0.0,,
ORR,,2022-2023,4,2022,7,5,2022-07-05,115.0,83.0,199.0,0.0,0.0,,
ORR,,2022-2023,5,2022,7,6,2022-07-06,64.0,32.0,231.0,0.0,0.0,,
ORR,,2022-2023,6,2022,7,7,2022-07-07,67.0,35.0,266.0,0.0,0.0,,
ORR,,2022-2023,7,2022,7,8,2022-07-08,67.0,35.0,301.0,0.0,0.0,,
ORR,,2022-2023,8,2022,7,9,2022-07-09,67.0,35.0,336.0,0.0,0.0,,
ORR,,2022-2023,9,2022,7,10,2022-07-10,96.0,64.0,400.0,0.0,0.0,,
ORR,,2022-2023,10,2022,7,11,2022-07-11,66.0,34.0,434.0,0.0,0.0,,
ORR,,2022-2023,11,2022,7,12,2022-07-12,62.0,30.0,464.0,0.0,0.0,,
ORR,,2022-2023,12,2022,7,13,2022-07-13,62.0,30.0,494.0,0.0,0.0,,
ORR,,2022-2023,13,2022,7,14,2022-07-14,63.0,31.0,525.0,0.0,0.0,,
ORR,,2022-2023,14,2022,7,15,2022-07-15,69.0,37.0,562.0,0.0,0.0,,
ORR,,2022-2023,15,2022,7,16,2022-07-16,70.0,38.0,600.0,0.0,0.0,,
ORR,,2022-2023,16,2022,7,17,2022-07-17,72.0,40.0,640.0,0.0,0.0,,
ORR,,2022-2023,17,2022,7,18,2022-07-18,73.0,41.0,681.0,0.0,0.0,,
ORR,,2022-2023,18,2022,7,19,2022-07-19,76.0,44.0,725.0,0.0,0.0,,
ORR,,2022-2023,19,2022,7,20,2022-07-20,68.0,36.0,761.0,0.0,0.0,,
ORR,,2022-2023,20,2022,7,21,2022-07-21,70.0,38.0,799.0,0.0,0.0,,
ORR,,2022-2023,21,2022,7,22,2022-07-22,93.0,61.0,860.0,0.0,0.0,,
ORR,,2022-2023,22,2022,7,23,2022-07-23,64.0,32.0,892.0,0.0,0.0,,
ORR,,2022-2023,23,2022,7,24,2022-07-24,61.0,29.0,921.0,0.0,0.0,,
ORR,,2022-2023,24,2022,7,25,2022-07-25,61.0,29.0,950.0,0.0,0.0,,
ORR,,2022-2023,25,2022,7,26,2022-07-26,62.0,30.0,980.0,0.0,0.0,,
ORR,,2022-2023,26,2022,7,27,2022-07-27,62.0,30.0,1010.0,0.0,0.0,,
ORR,,2022-2023,27,2022,7,28,2022-07-28,59.0,27.0,1037.0,0.0,0.0,,
ORR,,2022-2023,28,2022,7,29,2022-07-29,62.0,30.0,1067.0,0.0,0.0,,
ORR,,2022-2023,29,2022,7,30,2022-07-30,68.0,36.0,1103.0,0.0,0.0,,
ORR,,2022-2023,30,2022,7,31,2022-07-31,70.0,38.0,1141.0,0.0,0.0,,
ORR,,2022-2023,31,2022,8,1,2022-08-01,65.0,33.0,1174.0,0.0,0.0,,
ORR,,2022-2023,32,2022,8,2,2022-08-02,65.0,33.0,1207.0,0.0,0.0,,
ORR,,2022-2023,33,2022,8,3,2022-08-03,66.0,34.0,1241.0,0.0,0.0,,
ORR,,2022-2023,34,2022,8,4,2022-08-04,62.0,30.0,1271.0,0.0,0.0,,
ORR,,2022-2023,35,2022,8,5,2022-08-05,70.0,38.0,1309.0,0.0,0.0,,
ORR,,2022-2023,36,2022,8,6,2022-08-06,69.0,37.0,1346.0,0.0,0.0,,
ORR,,2022-2023,37,2022,8,7,2022-08-07,61.0,29.0,1375.0,0.0,0.0,,
ORR,,2022-2023,38,2022,8,8,2022-08-08,62.0,30.0,1405.0,0.0,0.0,,
ORR,,2022-2023,39,2022,8,9,2022-08-09,68.0,36.0,1441.0,0.0,0.0,,
ORR,,2022-2023,40,2022,8,10,2022-08-10,67.0,35.0,1476.0,0.0,0.0,,
ORR,,2022-2023,41,2022,8,11,2022-08-11,85.0,53.0,1529.0,0.0,0.0,,
ORR,,2022-2023,42,2022,8,12,2022-08-12,60.0,28.0,1557.0,0.0,0.0,,
ORR,,2022-2023,43,2022,8,13,2022-08-13,90.0,58.0,1615.0,0.0,0.0,,
ORR,,2022-2023,44,2022,8,14,2022-08-14,66.0,34.0,1649.0,0.0,0.0,,
ORR,,2022-2023,45,2022,8,15,2022-08-15,67.0,35.0,1684.0,0.0,0.0,,
ORR,,2022-2023,46,2022,8,16,2022-08-16,63.0,31.0,1715.0,0.0,0.0,,
ORR,,2022-2023,47,2022,8,17,2022-08-17,68.0,36.0,1751.0,0.0,0.0,,
ORR,,2022-2023,48,2022,8,18,2022-08-18,67.0,35.0,1786.0,0.0,0.0,,
ORR,,2022-2023,49,2022,8,19,2022-08-19,64.0,32.0,1818.0,0.0,0.0,,
ORR,,2022-2023,50,2022,8,20,2022-08-20,67.0,35.0,1853.0,0.0,0.0,,
ORR,,2022-2023,51,2022,8,21,2022-08-21,62.0,30.0,1883.0,0.0,0.0,,
ORR,,2022-2023,52,2022,8,22,2022-08-22,67.0,35.0,1918.0,0.0,0.0,,
ORR,,2022-2023,53,2022,8,23,2022-08-23,69.0,37.0,1955.0,0.0,0.0,,
ORR,,2022-2023,54,2022,8,24,2022-08-24,63.0,31.0,1986.0,0.0,0.0,,
