CITY,County,Winter,days_after_Jul_1,IYEAR,IMONTH,IDAY,DATE,AVG_DAILY_TEMP_F,HOT_F,CUMM_HOT_F,COLD_F,CUMM_COLD_F,THAW_DEPTH_in,FROST_DEPTH_in
ORR,,2010-2011,0,2010,7,1,2010-07-01,67.0,35.0,35.0,0.0,0.0,,
ORR,,2010-2011,1,2010,7,2,2010-07-02,76.0,44.0,79.0,0.0,0.0,,
ORR,,2010-2011,2,2010,7,3,2010-07-03,78.0,46.0,125.0,0.0,0.0,,
ORR,,2010-2011,3,2010,7,4,2010-07-04,70.0,38.0,163.0,0.0,0.0,,
ORR,,2010-2011,4,2010,7,5,2010-07-05,70.0,38.0,201.0,0.0,0.0,,
ORR,,2010-2011,5,2010,7,6,2010-07-06,71.0,39.0,240.0,0.0,0.0,,
ORR,,2010-2011,6,2010,7,7,2010-07-07,65.0,33.0,273.0,0.0,0.0,,
ORR,,2010-2011,7,2010,7,8,2010-07-08,67.0,35.0,308.0,0.0,0.0,,
ORR,,2010-2011,8,2010,7,9,2010-07-09,65.0,33.0,341.0,0.0,0.0,,
ORR,,2010-2011,9,2010,7,10,2010-07-10,71.0,39.0,380.0,0.0,0.0,,
ORR,,2010-2011,10,2010,7,11,2010-07-11,69.0,37.0,417.0,0.0,0.0,,
ORR,,2010-2011,11,2010,7,12,2010-07-12,62.0,30.0,447.0,0.0,0.0,,
ORR,,2010-2011,12,2010,7,13,2010-07-13,64.0,32.0,479.0,0.0,0.0,,
ORR,,2010-2011,13,2010,7,14,2010-07-14,68.0,36.0,515.0,0.0,0.0,,
ORR,,2010-2011,14,2010,7,15,2010-07-15,65.0,33.0,548.0,0.0,0.0,,
ORR,,2010-2011,15,2010,7,16,2010-07-16,68.0,36.0,584.0,0.0,0.0,,
ORR,,2010-2011,16,2010,7,17,2010-07-17,65.0,33.0,617.0,0.0,0.0,,
ORR,,2010-2011,17,2010,7,18,2010-07-18,68.0,36.0,653.0,0.0,0.0,,
ORR,,2010-2011,18,2010,7,19,2010-07-19,64.0,32.0,685.0,0.0,0.0,,
ORR,,2010-2011,19,2010,7,20,2010-07-20,64.0,32.0,717.0,0.0,0.0,,
ORR,,2010-2011,20,2010,7,21,2010-07-21,66.0,34.0,751.0,0.0,0.0,,
ORR,,2010-2011,21,2010,7,22,2010-07-22,67.0,35.0,786.0,0.0,0.0,,
ORR,,2010-2011,22,2010,7,23,2010-07-23,67.0,35.0,821.0,0.0,0.0,,
ORR,,2010-2011,23,2010,7,24,2010-07-24,65.0,33.0,854.0,0.0,0.0,,
ORR,,2010-2011,24,2010,7,25,2010-07-25,67.0,35.0,889.0,0.0,0.0,,
ORR,,2010-2011,25,2010,7,26,2010-07-26,70.0,38.0,927.0,0.0,0.0,,
ORR,,2010-2011,26,2010,7,27,2010-07-27,71.0,39.0,966.0,0.0,0.0,,
ORR,,2010-2011,27,2010,7,28,2010-07-28,67.0,35.0,1001.0,0.0,0.0,,
