CITY,County,Winter,days_after_Jul_1,IYEAR,IMONTH,IDAY,DATE,AVG_DAILY_TEMP_F,HOT_F,CUMM_HOT_F,COLD_F,CUMM_COLD_F,THAW_DEPTH_in,FROST_DEPTH_in
ORR,,2013-2014,0,2013,7,1,2013-07-01,67.0,35.0,35.0,0.0,0.0,,
ORR,,2013-2014,1,2013,7,2,2013-07-02,66.0,34.0,69.0,0.0,0.0,,
ORR,,2013-2014,2,2013,7,3,2013-07-03,68.0,36.0,105.0,0.0,0.0,,
ORR,,2013-2014,3,2013,7,4,2013-07-04,71.0,39.0,144.0,0.0,0.0,,
ORR,,2013-2014,4,2013,7,5,2013-07-05,74.0,42.0,186.0,0.0,0.0,,
ORR,,2013-2014,5,2013,7,6,2013-07-06,70.0,38.0,224.0,0.0,0.0,,
ORR,,2013-2014,6,2013,7,7,2013-07-07,69.0,37.0,261.0,0.0,0.0,,
ORR,,2013-2014,7,2013,7,8,2013-07-08,71.0,39.0,300.0,0.0,0.0,,
ORR,,2013-2014,8,2013,7,9,2013-07-09,67.0,35.0,335.0,0.0,0.0,,
ORR,,2013-2014,9,2013,7,10,2013-07-10,64.0,32.0,367.0,0.0,0.0,,
ORR,,2013-2014,10,2013,7,11,2013-07-11,65.0,33.0,400.0,0.0,0.0,,
ORR,,2013-2014,11,2013,7,12,2013-07-12,74.0,42.0,442.0,0.0,0.0,,
ORR,,2013-2014,12,2013,7,13,2013-07-13,74.0,42.0,484.0,0.0,0.0,,
ORR,,2013-2014,13,2013,7,14,2013-07-14,69.0,37.0,521.0,0.0,0.0,,
ORR,,2013-2014,14,2013,7,15,2013-07-15,68.0,36.0,557.0,0.0,0.0,,
ORR,,2013-2014,15,2013,7,16,2013-07-16,74.0,42.0,599.0,0.0,0.0,,
ORR,,2013-2014,16,2013,7,17,2013-07-17,71.0,39.0,638.0,0.0,0.0,,
ORR,,2013-2014,17,2013,7,18,2013-07-18,70.0,38.0,676.0,0.0,0.0,,
ORR,,2013-2014,18,2013,7,19,2013-07-19,69.0,37.0,713.0,0.0,0.0,,
ORR,,2013-2014,19,2013,7,20,2013-07-20,59.0,27.0,740.0,0.0,0.0,,
ORR,,2013-2014,20,2013,7,21,2013-07-21,59.0,27.0,767.0,0.0,0.0,,
ORR,,2013-2014,21,2013,7,22,2013-07-22,65.0,33.0,800.0,0.0,0.0,,
ORR,,2013-2014,22,2013,7,23,2013-07-23,60.0,28.0,828.0,0.0,0.0,,
ORR,,2013-2014,23,2013,7,24,2013-07-24,59.0,27.0,855.0,0.0,0.0,,
ORR,,2013-2014,24,2013,7,25,2013-07-25,60.0,28.0,883.0,0.0,0.0,,
ORR,,2013-2014,25,2013,7,26,2013-07-26,54.0,22.0,905.0,0.0,0.0,,
ORR,,2013-2014,26,2013,7,27,2013-07-27,50.0,18.0,923.0,0.0,0.0,,
