CITY,County,Winter,days_after_Jul_1,IYEAR,IMONTH,IDAY,DATE,AVG_DAILY_TEMP_F,HOT_F,CUMM_HOT_F,COLD_F,CUMM_COLD_F,THAW_DEPTH_in,FROST_DEPTH_in
ORR,,2017-2018,0,2017,7,1,2017-07-01,59.0,27.0,27.0,0.0,0.0,,
ORR,,2017-2018,1,2017,7,2,2017-07-02,59.0,27.0,54.0,0.0,0.0,,
ORR,,2017-2018,2,2017,7,3,2017-07-03,61.0,29.0,83.0,0.0,0.0,,
ORR,,2017-2018,3,2017,7,4,2017-07-04,68.0,36.0,119.0,0.0,0.0,,
ORR,,2017-2018,4,2017,7,5,2017-07-05,98.0,66.0,185.0,0.0,0.0,,
ORR,,2017-2018,5,2017,7,6,2017-07-06,71.0,39.0,224.0,0.0,0.0,,
ORR,,2017-2018,6,2017,7,7,2017-07-07,64.0,32.0,256.0,0.0,0.0,,
ORR,,2017-2018,7,2017,7,8,2017-07-08,63.0,31.0,287.0,0.0,0.0,,
ORR,,2017-2018,8,2017,7,9,2017-07-09,65.0,33.0,320.0,0.0,0.0,,
ORR,,2017-2018,9,2017,7,10,2017-07-10,67.0,35.0,355.0,0.0,0.0,,
ORR,,2017-2018,10,2017,7,11,2017-07-11,61.0,29.0,384.0,0.0,0.0,,
ORR,,2017-2018,11,2017,7,12,2017-07-12,58.0,26.0,410.0,0.0,0.0,,
ORR,,2017-2018,12,2017,7,13,2017-07-13,55.0,23.0,433.0,0.0,0.0,,
ORR,,2017-2018,13,2017,7,14,2017-07-14,61.0,29.0,462.0,0.0,0.0,,
ORR,,2017-2018,14,2017,7,15,2017-07-15,68.0,36.0,498.0,0.0,0.0,,
ORR,,2017-2018,15,2017,7,16,2017-07-16,63.0,31.0,529.0,0.0,0.0,,
ORR,,2017-2018,16,2017,7,17,2017-07-17,64.0,32.0,561.0,0.0,0.0,,
ORR,,2017-2018,17,2017,7,18,2017-07-18,71.0,39.0,600.0,0.0,0.0,,
ORR,,2017-2018,18,2017,7,19,2017-07-19,64.0,32.0,632.0,0.0,0.0,,
ORR,,2017-2018,19,2017,7,20,2017-07-20,69.0,37.0,669.0,0.0,0.0,,
ORR,,2017-2018,20,2017,7,21,2017-07-21,66.0,34.0,703.0,0.0,0.0,,
ORR,,2017-2018,21,2017,7,22,2017-07-22,64.0,32.0,735.0,0.0,0.0,,
ORR,,2017-2018,22,2017,7,23,2017-07-23,90.0,58.0,793.0,0.0,0.0,,
ORR,,2017-2018,23,2017,7,24,2017-07-24,65.0,33.0,826.0,0.0,0.0,,
ORR,,2017-2018,24,2017,7,25,2017-07-25,66.0,34.0,860.0,0.0,0.0,,
ORR,,2017-2018,25,2017,7,26,2017-07-26,69.0,37.0,897.0,0.0,0.0,,
ORR,,2017-2018,26,2017,7,27,2017-07-27,68.0,36.0,933.0,0.0,0.0,,
ORR,,2017-2018,27,2017,7,28,2017-07-28,67.0,35.0,968.0,0.0,0.0,,
ORR,,2017-2018,28,2017,7,29,2017-07-29,96.0,64.0,1032.0,0.0,0.0,,
ORR,,2017-2018,29,2017,7,30,2017-07-30,179.0,147.0,1179.0,0.0,0.0,,
ORR,,2017-2018,30,2017,7,31,2017-07-31,69.0,37.0,1216.0,0.0,0.0,,
ORR,,2017-2018,31,2017,8,1,2017-08-01,72.0,40.0,1256.0,0.0,0.0,,
ORR,,2017-2018,32,2017,8,2,2017-08-02,62.0,30.0,1286.0,0.0,0.0,,
ORR,,2017-2018,33,2017,8,3,2017-08-03,57.0,25.0,1311.0,0.0,0.0,,
ORR,,2017-2018,34,2017,8,4,2017-08-04,58.0,26.0,1337.0,0.0,0.0,,
ORR,,2017-2018,35,2017,8,5,2017-08-05,60.0,28.0,1365.0,0.0,0.0,,
ORR,,2017-2018,36,2017,8,6,2017-08-06,59.0,27.0,1392.0,0.0,0.0,,
ORR,,2017-2018,37,2017,8,7,2017-08-07,61.0,29.0,1421.0,0.0,0.0,,
ORR,,2017-2018,38,2017,8,8,2017-08-08,65.0,33.0,1454.0,0.0,0.0,,
