IYEAR,IMONTH,IDAY,AVG_DAILY_TEMP_F,DATE,COLD_F,HOT_F,INDEX,CUMM_COLD_F,CUMM_HOT_F
2014,7,1,59.0,2014-07-01,0.0,27.0,0,0.0,27.0
2014,7,2,56.0,2014-07-02,0.0,24.0,1,0.0,51.0
2014,7,3,60.0,2014-07-03,0.0,28.0,2,0.0,79.0
2014,7,4,61.0,2014-07-04,0.0,29.0,3,0.0,108.0
2014,7,5,65.0,2014-07-05,0.0,33.0,4,0.0,141.0
2014,7,6,72.0,2014-07-06,0.0,40.0,5,0.0,181.0
2014,7,7,68.0,2014-07-07,0.0,36.0,6,0.0,217.0
2014,7,8,59.0,2014-07-08,0.0,27.0,7,0.0,244.0
2014,7,9,57.0,2014-07-09,0.0,25.0,8,0.0,269.0
2014,7,10,62.0,2014-07-10,0.0,30.0,9,0.0,299.0
2014,7,11,66.0,2014-07-11,0.0,34.0,10,0.0,333.0
2014,7,12,60.0,2014-07-12,0.0,28.0,11,0.0,361.0
2014,7,13,58.0,2014-07-13,0.0,26.0,12,0.0,387.0
2014,7,14,53.0,2014-07-14,0.0,21.0,13,0.0,408.0
2014,7,15,58.0,2014-07-15,0.0,26.0,14,0.0,434.0
2014,7,16,58.0,2014-07-16,0.0,26.0,15,0.0,460.0
2014,7,17,62.0,2014-07-17,0.0,30.0,16,0.0,490.0
2014,7,18,66.0,2014-07-18,0.0,34.0,17,0.0,524.0
2014,7,19,68.0,2014-07-19,0.0,36.0,18,0.0,560.0
2014,7,20,69.0,2014-07-20,0.0,37.0,19,0.0,597.0
2014,7,21,79.0,2014-07-21,0.0,47.0,20,0.0,644.0
2014,7,22,71.0,2014-07-22,0.0,39.0,21,0.0,683.0
2014,7,23,62.0,2014-07-23,0.0,30.0,22,0.0,713.0
2014,7,24,62.0,2014-07-24,0.0,30.0,23,0.0,743.0
2014,7,25,65.0,2014-07-25,0.0,33.0,24,0.0,776.0
2014,7,26,70.0,2014-07-26,0.0,38.0,25,0.0,814.0
2014,7,27,61.0,2014-07-27,0.0,29.0,26,0.0,843.0
2014,7,28,61.0,2014-07-28,0.0,29.0,27,0.0,872.0
2014,7,29,63.0,2014-07-29,0.0,31.0,28,0.0,903.0
