CITY,County,Winter,days_after_Jul_1,IYEAR,IMONTH,IDAY,DATE,AVG_DAILY_TEMP_F,HOT_F,CUMM_HOT_F,COLD_F,CUMM_COLD_F,THAW_DEPTH_in,FROST_DEPTH_in
ORR,,2020-2021,0,2020,7,1,2020-07-01,78.0,46.0,46.0,0.0,0.0,,
ORR,,2020-2021,1,2020,7,2,2020-07-02,75.0,43.0,89.0,0.0,0.0,,
ORR,,2020-2021,2,2020,7,3,2020-07-03,75.0,43.0,132.0,0.0,0.0,,
ORR,,2020-2021,3,2020,7,4,2020-07-04,113.0,81.0,213.0,0.0,0.0,,
ORR,,2020-2021,4,2020,7,5,2020-07-05,93.0,61.0,274.0,0.0,0.0,,
ORR,,2020-2021,5,2020,7,6,2020-07-06,130.0,98.0,372.0,0.0,0.0,,
ORR,,2020-2021,6,2020,7,7,2020-07-07,68.0,36.0,408.0,0.0,0.0,,
ORR,,2020-2021,7,2020,7,8,2020-07-08,68.0,36.0,444.0,0.0,0.0,,
ORR,,2020-2021,8,2020,7,9,2020-07-09,72.0,40.0,484.0,0.0,0.0,,
ORR,,2020-2021,9,2020,7,10,2020-07-10,88.0,56.0,540.0,0.0,0.0,,
ORR,,2020-2021,10,2020,7,11,2020-07-11,66.0,34.0,574.0,0.0,0.0,,
ORR,,2020-2021,11,2020,7,12,2020-07-12,66.0,34.0,608.0,0.0,0.0,,
ORR,,2020-2021,12,2020,7,13,2020-07-13,67.0,35.0,643.0,0.0,0.0,,
ORR,,2020-2021,13,2020,7,14,2020-07-14,89.0,57.0,700.0,0.0,0.0,,
ORR,,2020-2021,14,2020,7,15,2020-07-15,66.0,34.0,734.0,0.0,0.0,,
ORR,,2020-2021,15,2020,7,16,2020-07-16,66.0,34.0,768.0,0.0,0.0,,
ORR,,2020-2021,16,2020,7,17,2020-07-17,68.0,36.0,804.0,0.0,0.0,,
ORR,,2020-2021,17,2020,7,18,2020-07-18,73.0,41.0,845.0,0.0,0.0,,
ORR,,2020-2021,18,2020,7,19,2020-07-19,66.0,34.0,879.0,0.0,0.0,,
ORR,,2020-2021,19,2020,7,20,2020-07-20,59.0,27.0,906.0,0.0,0.0,,
ORR,,2020-2021,20,2020,7,21,2020-07-21,57.0,25.0,931.0,0.0,0.0,,
ORR,,2020-2021,21,2020,7,22,2020-07-22,61.0,29.0,960.0,0.0,0.0,,
ORR,,2020-2021,22,2020,7,23,2020-07-23,64.0,32.0,992.0,0.0,0.0,,
ORR,,2020-2021,23,2020,7,24,2020-07-24,71.0,39.0,1031.0,0.0,0.0,,
ORR,,2020-2021,24,2020,7,25,2020-07-25,78.0,46.0,1077.0,0.0,0.0,,
ORR,,2020-2021,25,2020,7,26,2020-07-26,73.0,41.0,1118.0,0.0,0.0,,
ORR,,2020-2021,26,2020,7,27,2020-07-27,66.0,34.0,1152.0,0.0,0.0,,
ORR,,2020-2021,27,2020,7,28,2020-07-28,65.0,33.0,1185.0,0.0,0.0,,
ORR,,2020-2021,28,2020,7,29,2020-07-29,63.0,31.0,1216.0,0.0,0.0,,
ORR,,2020-2021,29,2020,7,30,2020-07-30,57.0,25.0,1241.0,0.0,0.0,,
ORR,,2020-2021,31,2020,8,1,2020-08-01,69.0,37.0,1278.0,0.0,0.0,,
ORR,,2020-2021,32,2020,8,2,2020-08-02,60.0,28.0,1306.0,0.0,0.0,,
ORR,,2020-2021,33,2020,8,3,2020-08-03,58.0,26.0,1332.0,0.0,0.0,,
ORR,,2020-2021,34,2020,8,4,2020-08-04,60.0,28.0,1360.0,0.0,0.0,,
ORR,,2020-2021,35,2020,8,5,2020-08-05,63.0,31.0,1391.0,0.0,0.0,,
ORR,,2020-2021,36,2020,8,6,2020-08-06,90.0,58.0,1449.0,0.0,0.0,,
ORR,,2020-2021,37,2020,8,7,2020-08-07,68.0,36.0,1485.0,0.0,0.0,,
ORR,,2020-2021,38,2020,8,8,2020-08-08,71.0,39.0,1524.0,0.0,0.0,,
ORR,,2020-2021,39,2020,8,9,2020-08-09,64.0,32.0,1556.0,0.0,0.0,,
ORR,,2020-2021,40,2020,8,10,2020-08-10,64.0,32.0,1588.0,0.0,0.0,,
ORR,,2020-2021,41,2020,8,11,2020-08-11,65.0,33.0,1621.0,0.0,0.0,,
ORR,,2020-2021,42,2020,8,12,2020-08-12,65.0,33.0,1654.0,0.0,0.0,,
ORR,,2020-2021,43,2020,8,13,2020-08-13,65.0,33.0,1687.0,0.0,0.0,,
ORR,,2020-2021,44,2020,8,14,2020-08-14,66.0,34.0,1721.0,0.0,0.0,,
ORR,,2020-2021,45,2020,8,15,2020-08-15,63.0,31.0,1752.0,0.0,0.0,,
ORR,,2020-2021,46,2020,8,16,2020-08-16,64.0,32.0,1784.0,0.0,0.0,,
ORR,,2020-2021,47,2020,8,17,2020-08-17,62.0,30.0,1814.0,0.0,0.0,,
ORR,,2020-2021,48,2020,8,18,2020-08-18,60.0,28.0,1842.0,0.0,0.0,,
ORR,,2020-2021,49,2020,8,19,2020-08-19,69.0,37.0,1879.0,0.0,0.0,,
ORR,,2020-2021,50,2020,8,20,2020-08-20,71.0,39.0,1918.0,0.0,0.0,,
ORR,,2020-2021,51,2020,8,21,2020-08-21,69.0,37.0,1955.0,0.0,0.0,,
ORR,,2020-2021,52,2020,8,22,2020-08-22,69.0,37.0,1992.0,0.0,0.0,,
