IYEAR,IMONTH,IDAY,AVG_DAILY_TEMP_F,DATE,COLD_F,HOT_F,INDEX,CUMM_COLD_F,CUMM_HOT_F
2015,7,1,59.0,2015-07-01,0.0,27.0,0,0.0,27.0
2015,7,2,64.0,2015-07-02,0.0,32.0,1,0.0,59.0
2015,7,3,69.0,2015-07-03,0.0,37.0,2,0.0,96.0
2015,7,4,65.0,2015-07-04,0.0,33.0,3,0.0,129.0
2015,7,5,70.0,2015-07-05,0.0,38.0,4,0.0,167.0
2015,7,6,62.0,2015-07-06,0.0,30.0,5,0.0,197.0
2015,7,7,58.0,2015-07-07,0.0,26.0,6,0.0,223.0
2015,7,8,57.0,2015-07-08,0.0,25.0,7,0.0,248.0
2015,7,9,63.0,2015-07-09,0.0,31.0,8,0.0,279.0
2015,7,10,68.0,2015-07-10,0.0,36.0,9,0.0,315.0
2015,7,11,70.0,2015-07-11,0.0,38.0,10,0.0,353.0
2015,7,12,70.0,2015-07-12,0.0,38.0,11,0.0,391.0
2015,7,13,67.0,2015-07-13,0.0,35.0,12,0.0,426.0
2015,7,14,67.0,2015-07-14,0.0,35.0,13,0.0,461.0
2015,7,15,62.0,2015-07-15,0.0,30.0,14,0.0,491.0
2015,7,16,65.0,2015-07-16,0.0,33.0,15,0.0,524.0
2015,7,17,69.0,2015-07-17,0.0,37.0,16,0.0,561.0
2015,7,18,71.0,2015-07-18,0.0,39.0,17,0.0,600.0
2015,7,19,68.0,2015-07-19,0.0,36.0,18,0.0,636.0
2015,7,20,93.0,2015-07-20,0.0,61.0,19,0.0,697.0
2015,7,21,61.0,2015-07-21,0.0,29.0,20,0.0,726.0
2015,7,22,62.0,2015-07-22,0.0,30.0,21,0.0,756.0
2015,7,23,72.0,2015-07-23,0.0,40.0,22,0.0,796.0
2015,7,24,72.0,2015-07-24,0.0,40.0,23,0.0,836.0
2015,7,25,70.0,2015-07-25,0.0,38.0,24,0.0,874.0
2015,7,26,74.0,2015-07-26,0.0,42.0,25,0.0,916.0
2015,7,27,76.0,2015-07-27,0.0,44.0,26,0.0,960.0
2015,7,28,74.0,2015-07-28,0.0,42.0,27,0.0,1002.0
2015,7,29,67.0,2015-07-29,0.0,35.0,28,0.0,1037.0
2015,7,30,67.0,2015-07-30,0.0,35.0,29,0.0,1072.0
2015,7,31,64.0,2015-07-31,0.0,32.0,30,0.0,1104.0
2015,8,1,66.0,2015-08-01,0.0,34.0,31,0.0,1138.0
2015,8,2,65.0,2015-08-02,0.0,33.0,32,0.0,1171.0
2015,8,3,59.0,2015-08-03,0.0,27.0,33,0.0,1198.0
2015,8,4,56.0,2015-08-04,0.0,24.0,34,0.0,1222.0
2015,8,5,59.0,2015-08-05,0.0,27.0,35,0.0,1249.0
2015,8,6,62.0,2015-08-06,0.0,30.0,36,0.0,1279.0
2015,8,7,62.0,2015-08-07,0.0,30.0,37,0.0,1309.0
2015,8,8,65.0,2015-08-08,0.0,33.0,38,0.0,1342.0
2015,8,9,67.0,2015-08-09,0.0,35.0,39,0.0,1377.0
2015,8,10,63.0,2015-08-10,0.0,31.0,40,0.0,1408.0
2015,8,11,62.0,2015-08-11,0.0,30.0,41,0.0,1438.0
2015,8,12,68.0,2015-08-12,0.0,36.0,42,0.0,1474.0
2015,8,13,74.0,2015-08-13,0.0,42.0,43,0.0,1516.0
2015,8,14,74.0,2015-08-14,0.0,42.0,44,0.0,1558.0
2015,8,15,72.0,2015-08-15,0.0,40.0,45,0.0,1598.0
2015,8,16,74.0,2015-08-16,0.0,42.0,46,0.0,1640.0
2015,8,17,62.0,2015-08-17,0.0,30.0,47,0.0,1670.0
2015,8,18,56.0,2015-08-18,0.0,24.0,48,0.0,1694.0
2015,8,19,55.0,2015-08-19,0.0,23.0,49,0.0,1717.0
2015,8,20,53.0,2015-08-20,0.0,21.0,50,0.0,1738.0
2015,8,21,58.0,2015-08-21,0.0,26.0,51,0.0,1764.0
2015,8,22,68.0,2015-08-22,0.0,36.0,52,0.0,1800.0
2015,8,23,122.0,2015-08-23,0.0,90.0,53,0.0,1890.0
2015,8,24,48.0,2015-08-24,0.0,16.0,54,0.0,1906.0
2015,8,25,52.0,2015-08-25,0.0,20.0,55,0.0,1926.0
2015,8,26,53.0,2015-08-26,0.0,21.0,56,0.0,1947.0
