IYEAR,IMONTH,IDAY,AVG_DAILY_TEMP_F,DATE,COLD_F,HOT_F,INDEX,CUMM_COLD_F,CUMM_HOT_F
2020,7,1,78.0,2020-07-01,0.0,46.0,0,0.0,46.0
2020,7,2,75.0,2020-07-02,0.0,43.0,1,0.0,89.0
2020,7,3,75.0,2020-07-03,0.0,43.0,2,0.0,132.0
2020,7,4,113.0,2020-07-04,0.0,81.0,3,0.0,213.0
2020,7,5,93.0,2020-07-05,0.0,61.0,4,0.0,274.0
2020,7,6,130.0,2020-07-06,0.0,98.0,5,0.0,372.0
2020,7,7,68.0,2020-07-07,0.0,36.0,6,0.0,408.0
2020,7,8,68.0,2020-07-08,0.0,36.0,7,0.0,444.0
2020,7,9,72.0,2020-07-09,0.0,40.0,8,0.0,484.0
2020,7,10,88.0,2020-07-10,0.0,56.0,9,0.0,540.0
2020,7,11,66.0,2020-07-11,0.0,34.0,10,0.0,574.0
2020,7,12,66.0,2020-07-12,0.0,34.0,11,0.0,608.0
2020,7,13,67.0,2020-07-13,0.0,35.0,12,0.0,643.0
2020,7,14,89.0,2020-07-14,0.0,57.0,13,0.0,700.0
2020,7,15,66.0,2020-07-15,0.0,34.0,14,0.0,734.0
2020,7,16,66.0,2020-07-16,0.0,34.0,15,0.0,768.0
2020,7,17,68.0,2020-07-17,0.0,36.0,16,0.0,804.0
2020,7,18,73.0,2020-07-18,0.0,41.0,17,0.0,845.0
2020,7,19,66.0,2020-07-19,0.0,34.0,18,0.0,879.0
2020,7,20,59.0,2020-07-20,0.0,27.0,19,0.0,906.0
2020,7,21,57.0,2020-07-21,0.0,25.0,20,0.0,931.0
2020,7,22,61.0,2020-07-22,0.0,29.0,21,0.0,960.0
2020,7,23,64.0,2020-07-23,0.0,32.0,22,0.0,992.0
2020,7,24,71.0,2020-07-24,0.0,39.0,23,0.0,1031.0
2020,7,25,78.0,2020-07-25,0.0,46.0,24,0.0,1077.0
2020,7,26,73.0,2020-07-26,0.0,41.0,25,0.0,1118.0
2020,7,27,66.0,2020-07-27,0.0,34.0,26,0.0,1152.0
2020,7,28,65.0,2020-07-28,0.0,33.0,27,0.0,1185.0
2020,7,29,63.0,2020-07-29,0.0,31.0,28,0.0,1216.0
