CITY,County,Winter,days_after_Jul_1,IYEAR,IMONTH,IDAY,DATE,AVG_DAILY_TEMP_F,HOT_F,CUMM_HOT_F,COLD_F,CUMM_COLD_F,THAW_DEPTH_in,FROST_DEPTH_in
ORR,,2021-2022,0,2021,7,1,2021-07-01,68.0,36.0,36.0,0.0,0.0,,
ORR,,2021-2022,1,2021,7,2,2021-07-02,70.0,38.0,74.0,0.0,0.0,,
ORR,,2021-2022,2,2021,7,3,2021-07-03,76.0,44.0,118.0,0.0,0.0,,
ORR,,2021-2022,3,2021,7,4,2021-07-04,76.0,44.0,162.0,0.0,0.0,,
ORR,,2021-2022,4,2021,7,5,2021-07-05,77.0,45.0,207.0,0.0,0.0,,
ORR,,2021-2022,5,2021,7,6,2021-07-06,66.0,34.0,241.0,0.0,0.0,,
ORR,,2021-2022,6,2021,7,7,2021-07-07,60.0,28.0,269.0,0.0,0.0,,
ORR,,2021-2022,7,2021,7,8,2021-07-08,59.0,27.0,296.0,0.0,0.0,,
ORR,,2021-2022,8,2021,7,9,2021-07-09,63.0,31.0,327.0,0.0,0.0,,
ORR,,2021-2022,9,2021,7,10,2021-07-10,67.0,35.0,362.0,0.0,0.0,,
ORR,,2021-2022,10,2021,7,11,2021-07-11,69.0,37.0,399.0,0.0,0.0,,
ORR,,2021-2022,11,2021,7,12,2021-07-12,72.0,40.0,439.0,0.0,0.0,,
ORR,,2021-2022,12,2021,7,13,2021-07-13,71.0,39.0,478.0,0.0,0.0,,
ORR,,2021-2022,13,2021,7,14,2021-07-14,67.0,35.0,513.0,0.0,0.0,,
ORR,,2021-2022,14,2021,7,15,2021-07-15,66.0,34.0,547.0,0.0,0.0,,
ORR,,2021-2022,15,2021,7,16,2021-07-16,71.0,39.0,586.0,0.0,0.0,,
ORR,,2021-2022,16,2021,7,17,2021-07-17,122.0,90.0,676.0,0.0,0.0,,
ORR,,2021-2022,17,2021,7,18,2021-07-18,76.0,44.0,720.0,0.0,0.0,,
ORR,,2021-2022,18,2021,7,19,2021-07-19,70.0,38.0,758.0,0.0,0.0,,
ORR,,2021-2022,19,2021,7,20,2021-07-20,68.0,36.0,794.0,0.0,0.0,,
ORR,,2021-2022,20,2021,7,21,2021-07-21,61.0,29.0,823.0,0.0,0.0,,
ORR,,2021-2022,21,2021,7,22,2021-07-22,68.0,36.0,859.0,0.0,0.0,,
ORR,,2021-2022,22,2021,7,23,2021-07-23,75.0,43.0,902.0,0.0,0.0,,
ORR,,2021-2022,23,2021,7,24,2021-07-24,73.0,41.0,943.0,0.0,0.0,,
ORR,,2021-2022,24,2021,7,25,2021-07-25,71.0,39.0,982.0,0.0,0.0,,
ORR,,2021-2022,25,2021,7,26,2021-07-26,67.0,35.0,1017.0,0.0,0.0,,
ORR,,2021-2022,26,2021,7,27,2021-07-27,68.0,36.0,1053.0,0.0,0.0,,
ORR,,2021-2022,27,2021,7,28,2021-07-28,68.0,36.0,1089.0,0.0,0.0,,
ORR,,2021-2022,28,2021,7,29,2021-07-29,93.0,61.0,1150.0,0.0,0.0,,
ORR,,2021-2022,29,2021,7,30,2021-07-30,87.0,55.0,1205.0,0.0,0.0,,
ORR,,2021-2022,30,2021,7,31,2021-07-31,133.0,101.0,1306.0,0.0,0.0,,
ORR,,2021-2022,31,2021,8,1,2021-08-01,63.0,31.0,1337.0,0.0,0.0,,
ORR,,2021-2022,32,2021,8,2,2021-08-02,67.0,35.0,1372.0,0.0,0.0,,
ORR,,2021-2022,33,2021,8,3,2021-08-03,69.0,37.0,1409.0,0.0,0.0,,
ORR,,2021-2022,34,2021,8,4,2021-08-04,72.0,40.0,1449.0,0.0,0.0,,
ORR,,2021-2022,35,2021,8,5,2021-08-05,69.0,37.0,1486.0,0.0,0.0,,
ORR,,2021-2022,36,2021,8,6,2021-08-06,67.0,35.0,1521.0,0.0,0.0,,
ORR,,2021-2022,37,2021,8,7,2021-08-07,65.0,33.0,1554.0,0.0,0.0,,
ORR,,2021-2022,38,2021,8,8,2021-08-08,66.0,34.0,1588.0,0.0,0.0,,
ORR,,2021-2022,39,2021,8,9,2021-08-09,73.0,41.0,1629.0,0.0,0.0,,
ORR,,2021-2022,40,2021,8,10,2021-08-10,75.0,43.0,1672.0,0.0,0.0,,
ORR,,2021-2022,41,2021,8,11,2021-08-11,69.0,37.0,1709.0,0.0,0.0,,
ORR,,2021-2022,42,2021,8,12,2021-08-12,63.0,31.0,1740.0,0.0,0.0,,
ORR,,2021-2022,43,2021,8,13,2021-08-13,59.0,27.0,1767.0,0.0,0.0,,
ORR,,2021-2022,44,2021,8,14,2021-08-14,63.0,31.0,1798.0,0.0,0.0,,
ORR,,2021-2022,45,2021,8,15,2021-08-15,76.0,44.0,1842.0,0.0,0.0,,
