IYEAR,IMONTH,IDAY,AVG_DAILY_TEMP_F,DATE,COLD_F,HOT_F,INDEX,CUMM_COLD_F,CUMM_HOT_F
2012,7,1,73.0,2012-07-01,0.0,41.0,0,0.0,41.0
2012,7,2,76.0,2012-07-02,0.0,44.0,1,0.0,85.0
2012,7,3,75.0,2012-07-03,0.0,43.0,2,0.0,128.0
2012,7,4,71.0,2012-07-04,0.0,39.0,3,0.0,167.0
2012,7,5,73.0,2012-07-05,0.0,41.0,4,0.0,208.0
2012,7,6,63.0,2012-07-06,0.0,31.0,5,0.0,239.0
2012,7,7,67.0,2012-07-07,0.0,35.0,6,0.0,274.0
2012,7,8,70.0,2012-07-08,0.0,38.0,7,0.0,312.0
2012,7,9,66.0,2012-07-09,0.0,34.0,8,0.0,346.0
2012,7,10,66.0,2012-07-10,0.0,34.0,9,0.0,380.0
2012,7,11,73.0,2012-07-11,0.0,41.0,10,0.0,421.0
2012,7,12,73.0,2012-07-12,0.0,41.0,11,0.0,462.0
2012,7,13,97.0,2012-07-13,0.0,65.0,12,0.0,527.0
2012,7,14,74.0,2012-07-14,0.0,42.0,13,0.0,569.0
2012,7,15,69.0,2012-07-15,0.0,37.0,14,0.0,606.0
2012,7,16,74.0,2012-07-16,0.0,42.0,15,0.0,648.0
2012,7,17,71.0,2012-07-17,0.0,39.0,16,0.0,687.0
2012,7,18,68.0,2012-07-18,0.0,36.0,17,0.0,723.0
2012,7,19,67.0,2012-07-19,0.0,35.0,18,0.0,758.0
2012,7,20,73.0,2012-07-20,0.0,41.0,19,0.0,799.0
2012,7,21,72.0,2012-07-21,0.0,40.0,20,0.0,839.0
2012,7,22,70.0,2012-07-22,0.0,38.0,21,0.0,877.0
2012,7,23,70.0,2012-07-23,0.0,38.0,22,0.0,915.0
2012,7,24,69.0,2012-07-24,0.0,37.0,23,0.0,952.0
2012,7,25,66.0,2012-07-25,0.0,34.0,24,0.0,986.0
2012,7,26,66.0,2012-07-26,0.0,34.0,25,0.0,1020.0
2012,7,27,64.0,2012-07-27,0.0,32.0,26,0.0,1052.0
2012,7,28,66.0,2012-07-28,0.0,34.0,27,0.0,1086.0
2012,7,29,73.0,2012-07-29,0.0,41.0,28,0.0,1127.0
2012,7,30,72.0,2012-07-30,0.0,40.0,29,0.0,1167.0
2012,7,31,66.0,2012-07-31,0.0,34.0,30,0.0,1201.0
2012,8,1,74.0,2012-08-01,0.0,42.0,31,0.0,1243.0
2012,8,2,69.0,2012-08-02,0.0,37.0,32,0.0,1280.0
2012,8,3,65.0,2012-08-03,0.0,33.0,33,0.0,1313.0
2012,8,4,65.0,2012-08-04,0.0,33.0,34,0.0,1346.0
2012,8,5,61.0,2012-08-05,0.0,29.0,35,0.0,1375.0
2012,8,6,66.0,2012-08-06,0.0,34.0,36,0.0,1409.0
2012,8,7,65.0,2012-08-07,0.0,33.0,37,0.0,1442.0
2012,8,8,64.0,2012-08-08,0.0,32.0,38,0.0,1474.0
2012,8,9,62.0,2012-08-09,0.0,30.0,39,0.0,1504.0
2012,8,10,59.0,2012-08-10,0.0,27.0,40,0.0,1531.0
2012,8,11,60.0,2012-08-11,0.0,28.0,41,0.0,1559.0
2012,8,12,62.0,2012-08-12,0.0,30.0,42,0.0,1589.0
2012,8,13,66.0,2012-08-13,0.0,34.0,43,0.0,1623.0
2012,8,14,59.0,2012-08-14,0.0,27.0,44,0.0,1650.0
2012,8,15,63.0,2012-08-15,0.0,31.0,45,0.0,1681.0
2012,8,16,59.0,2012-08-16,0.0,27.0,46,0.0,1708.0
2012,8,17,57.0,2012-08-17,0.0,25.0,47,0.0,1733.0
2012,8,18,58.0,2012-08-18,0.0,26.0,48,0.0,1759.0
2012,8,19,55.0,2012-08-19,0.0,23.0,49,0.0,1782.0
2012,8,20,58.0,2012-08-20,0.0,26.0,50,0.0,1808.0
2012,8,21,62.0,2012-08-21,0.0,30.0,51,0.0,1838.0
2012,8,22,69.0,2012-08-22,0.0,37.0,52,0.0,1875.0
2012,8,23,71.0,2012-08-23,0.0,39.0,53,0.0,1914.0
2012,8,24,73.0,2012-08-24,0.0,41.0,54,0.0,1955.0
2012,8,25,72.0,2012-08-25,0.0,40.0,55,0.0,1995.0
2012,8,26,68.0,2012-08-26,0.0,36.0,56,0.0,2031.0
2012,8,27,63.0,2012-08-27,0.0,31.0,57,0.0,2062.0
2012,8,28,66.0,2012-08-28,0.0,34.0,58,0.0,2096.0
2012,8,29,70.0,2012-08-29,0.0,38.0,59,0.0,2134.0
2012,8,30,71.0,2012-08-30,0.0,39.0,60,0.0,2173.0
