CITY,County,Winter,days_after_Jul_1,IYEAR,IMONTH,IDAY,DATE,AVG_DAILY_TEMP_F,HOT_F,CUMM_HOT_F,COLD_F,CUMM_COLD_F,THAW_DEPTH_in,FROST_DEPTH_in
ORR,,2011-2012,0,2011,7,1,2011-07-01,76.0,44.0,44.0,0.0,0.0,,
ORR,,2011-2012,1,2011,7,2,2011-07-02,69.0,37.0,81.0,0.0,0.0,,
ORR,,2011-2012,2,2011,7,3,2011-07-03,64.0,32.0,113.0,0.0,0.0,,
ORR,,2011-2012,3,2011,7,4,2011-07-04,72.0,40.0,153.0,0.0,0.0,,
ORR,,2011-2012,4,2011,7,5,2011-07-05,71.0,39.0,192.0,0.0,0.0,,
ORR,,2011-2012,5,2011,7,6,2011-07-06,66.0,34.0,226.0,0.0,0.0,,
ORR,,2011-2012,6,2011,7,7,2011-07-07,68.0,36.0,262.0,0.0,0.0,,
ORR,,2011-2012,7,2011,7,8,2011-07-08,66.0,34.0,296.0,0.0,0.0,,
ORR,,2011-2012,8,2011,7,9,2011-07-09,67.0,35.0,331.0,0.0,0.0,,
ORR,,2011-2012,9,2011,7,10,2011-07-10,73.0,41.0,372.0,0.0,0.0,,
ORR,,2011-2012,10,2011,7,11,2011-07-11,69.0,37.0,409.0,0.0,0.0,,
ORR,,2011-2012,11,2011,7,12,2011-07-12,62.0,30.0,439.0,0.0,0.0,,
ORR,,2011-2012,12,2011,7,13,2011-07-13,57.0,25.0,464.0,0.0,0.0,,
ORR,,2011-2012,13,2011,7,14,2011-07-14,60.0,28.0,492.0,0.0,0.0,,
ORR,,2011-2012,14,2011,7,15,2011-07-15,67.0,35.0,527.0,0.0,0.0,,
ORR,,2011-2012,15,2011,7,16,2011-07-16,75.0,43.0,570.0,0.0,0.0,,
ORR,,2011-2012,16,2011,7,17,2011-07-17,76.0,44.0,614.0,0.0,0.0,,
ORR,,2011-2012,17,2011,7,18,2011-07-18,76.0,44.0,658.0,0.0,0.0,,
ORR,,2011-2012,18,2011,7,19,2011-07-19,70.0,38.0,696.0,0.0,0.0,,
ORR,,2011-2012,19,2011,7,20,2011-07-20,78.0,46.0,742.0,0.0,0.0,,
ORR,,2011-2012,20,2011,7,21,2011-07-21,74.0,42.0,784.0,0.0,0.0,,
ORR,,2011-2012,21,2011,7,22,2011-07-22,72.0,40.0,824.0,0.0,0.0,,
ORR,,2011-2012,22,2011,7,23,2011-07-23,59.0,27.0,851.0,0.0,0.0,,
ORR,,2011-2012,23,2011,7,24,2011-07-24,61.0,29.0,880.0,0.0,0.0,,
ORR,,2011-2012,24,2011,7,25,2011-07-25,68.0,36.0,916.0,0.0,0.0,,
ORR,,2011-2012,25,2011,7,26,2011-07-26,63.0,31.0,947.0,0.0,0.0,,
ORR,,2011-2012,26,2011,7,27,2011-07-27,65.0,33.0,980.0,0.0,0.0,,
ORR,,2011-2012,27,2011,7,28,2011-07-28,72.0,40.0,1020.0,0.0,0.0,,
ORR,,2011-2012,28,2011,7,29,2011-07-29,70.0,38.0,1058.0,0.0,0.0,,
ORR,,2011-2012,29,2011,7,30,2011-07-30,69.0,37.0,1095.0,0.0,0.0,,
ORR,,2011-2012,30,2011,7,31,2011-07-31,69.0,37.0,1132.0,0.0,0.0,,
ORR,,2011-2012,31,2011,8,1,2011-08-01,69.0,37.0,1169.0,0.0,0.0,,
ORR,,2011-2012,32,2011,8,2,2011-08-02,74.0,42.0,1211.0,0.0,0.0,,
ORR,,2011-2012,33,2011,8,3,2011-08-03,69.0,37.0,1248.0,0.0,0.0,,
ORR,,2011-2012,34,2011,8,4,2011-08-04,72.0,40.0,1288.0,0.0,0.0,,
ORR,,2011-2012,35,2011,8,5,2011-08-05,72.0,40.0,1328.0,0.0,0.0,,
ORR,,2011-2012,36,2011,8,6,2011-08-06,67.0,35.0,1363.0,0.0,0.0,,
ORR,,2011-2012,37,2011,8,7,2011-08-07,66.0,34.0,1397.0,0.0,0.0,,
ORR,,2011-2012,38,2011,8,8,2011-08-08,65.0,33.0,1430.0,0.0,0.0,,
ORR,,2011-2012,39,2011,8,9,2011-08-09,59.0,27.0,1457.0,0.0,0.0,,
ORR,,2011-2012,40,2011,8,10,2011-08-10,60.0,28.0,1485.0,0.0,0.0,,
ORR,,2011-2012,41,2011,8,11,2011-08-11,65.0,33.0,1518.0,0.0,0.0,,
ORR,,2011-2012,42,2011,8,12,2011-08-12,65.0,33.0,1551.0,0.0,0.0,,
ORR,,2011-2012,43,2011,8,13,2011-08-13,92.0,60.0,1611.0,0.0,0.0,,
ORR,,2011-2012,44,2011,8,14,2011-08-14,66.0,34.0,1645.0,0.0,0.0,,
ORR,,2011-2012,45,2011,8,15,2011-08-15,69.0,37.0,1682.0,0.0,0.0,,
ORR,,2011-2012,46,2011,8,16,2011-08-16,69.0,37.0,1719.0,0.0,0.0,,
ORR,,2011-2012,47,2011,8,17,2011-08-17,66.0,34.0,1753.0,0.0,0.0,,
ORR,,2011-2012,48,2011,8,18,2011-08-18,65.0,33.0,1786.0,0.0,0.0,,
ORR,,2011-2012,49,2011,8,19,2011-08-19,68.0,36.0,1822.0,0.0,0.0,,
ORR,,2011-2012,50,2011,8,20,2011-08-20,57.0,25.0,1847.0,0.0,0.0,,
ORR,,2011-2012,51,2011,8,21,2011-08-21,57.0,25.0,1872.0,0.0,0.0,,
ORR,,2011-2012,52,2011,8,22,2011-08-22,65.0,33.0,1905.0,0.0,0.0,,
ORR,,2011-2012,53,2011,8,23,2011-08-23,71.0,39.0,1944.0,0.0,0.0,,
ORR,,2011-2012,54,2011,8,24,2011-08-24,70.0,38.0,1982.0,0.0,0.0,,
ORR,,2011-2012,55,2011,8,25,2011-08-25,66.0,34.0,2016.0,0.0,0.0,,
ORR,,2011-2012,56,2011,8,26,2011-08-26,70.0,38.0,2054.0,0.0,0.0,,
ORR,,2011-2012,57,2011,8,27,2011-08-27,61.0,29.0,2083.0,0.0,0.0,,
ORR,,2011-2012,58,2011,8,28,2011-08-28,57.0,25.0,2108.0,0.0,0.0,,
ORR,,2011-2012,59,2011,8,29,2011-08-29,66.0,34.0,2142.0,0.0,0.0,,
ORR,,2011-2012,60,2011,8,30,2011-08-30,66.0,34.0,2176.0,0.0,0.0,,
ORR,,2011-2012,61,2011,8,31,2011-08-31,63.0,31.0,2207.0,0.0,0.0,,
