CITY,County,Winter,days_after_Jul_1,IYEAR,IMONTH,IDAY,DATE,AVG_DAILY_TEMP_F,HOT_F,CUMM_HOT_F,COLD_F,CUMM_COLD_F,THAW_DEPTH_in,FROST_DEPTH_in
ORR,,2015-2016,0,2015,7,1,2015-07-01,61.0,29.0,29.0,0.0,0.0,,
ORR,,2015-2016,1,2015,7,2,2015-07-02,98.0,66.0,95.0,0.0,0.0,,
ORR,,2015-2016,2,2015,7,3,2015-07-03,69.0,37.0,132.0,0.0,0.0,,
ORR,,2015-2016,3,2015,7,4,2015-07-04,66.0,34.0,166.0,0.0,0.0,,
ORR,,2015-2016,4,2015,7,5,2015-07-05,70.0,38.0,204.0,0.0,0.0,,
ORR,,2015-2016,8,2015,7,9,2015-07-09,76.0,44.0,248.0,0.0,0.0,,
ORR,,2015-2016,9,2015,7,10,2015-07-10,70.0,38.0,286.0,0.0,0.0,,
ORR,,2015-2016,10,2015,7,11,2015-07-11,72.0,40.0,326.0,0.0,0.0,,
ORR,,2015-2016,11,2015,7,12,2015-07-12,71.0,39.0,365.0,0.0,0.0,,
ORR,,2015-2016,12,2015,7,13,2015-07-13,69.0,37.0,402.0,0.0,0.0,,
ORR,,2015-2016,13,2015,7,14,2015-07-14,69.0,37.0,439.0,0.0,0.0,,
ORR,,2015-2016,14,2015,7,15,2015-07-15,65.0,33.0,472.0,0.0,0.0,,
ORR,,2015-2016,15,2015,7,16,2015-07-16,68.0,36.0,508.0,0.0,0.0,,
ORR,,2015-2016,16,2015,7,17,2015-07-17,70.0,38.0,546.0,0.0,0.0,,
ORR,,2015-2016,17,2015,7,18,2015-07-18,71.0,39.0,585.0,0.0,0.0,,
ORR,,2015-2016,18,2015,7,19,2015-07-19,67.0,35.0,620.0,0.0,0.0,,
ORR,,2015-2016,19,2015,7,20,2015-07-20,66.0,34.0,654.0,0.0,0.0,,
ORR,,2015-2016,20,2015,7,21,2015-07-21,64.0,32.0,686.0,0.0,0.0,,
ORR,,2015-2016,21,2015,7,22,2015-07-22,63.0,31.0,717.0,0.0,0.0,,
ORR,,2015-2016,22,2015,7,23,2015-07-23,73.0,41.0,758.0,0.0,0.0,,
ORR,,2015-2016,23,2015,7,24,2015-07-24,71.0,39.0,797.0,0.0,0.0,,
ORR,,2015-2016,24,2015,7,25,2015-07-25,69.0,37.0,834.0,0.0,0.0,,
